"","N","Media","Mediana","Varianza","N (3sd)","Media (3sd)","Mediana (3sd)","Varianza (3sd)"
"CalzadoHombre",47,168.965106382979,159.9,1497.55796466235,46,166.11652173913,159.45,1140.98353429952
"CalcetinesHombre",14,19.9142857142857,19.4,20.9628571428571,14,19.9142857142857,19.4,20.9628571428571
"PantalonHombre",14,97.4542857142857,97.135,325.810410989011,14,97.4542857142857,97.135,325.810410989011
"CamisetaHombre",44,52.2527272727273,40.94,436.038141226216,44,52.2527272727273,40.94,436.038141226216
"CapaIntermedia",5,70.2,67.5,319.95,5,70.2,67.5,319.95
"Chaqueta",32,202.8515625,199,13080.2889490927,31,191.653225806452,198,9369.64782258064
"Impermeable",5,93.5,100,1105,5,93.5,100,1105
"Gorros",40,17.4835,16,68.4054284615385,40,17.4835,16,68.4054284615385
